competence,Type_competence
SAS,DATA VISUALISATION
TABLEAU,DATA VISUALISATION
MATPLOTLIB,DATA VISUALISATION
POWER BI,DATA VISUALISATION
EXCEL,DATA VISUALISATION
BUSINESS OBJECT,DATA VISUALISATION
TABLEAU,DATA INTEGRATION
SSIS,DATA INTEGRATION
ORACLE,BASE DE DONNEES
MYSQL,BASE DE DONNEES
POSTRESQL,BASE DE DONNEES
SQL SERVER,BASE DE DONNEES
ACESS,BASE DE DONNEES
NO SQL,BASE DE DONNEES
MONGODB,BASE DE DONNEES
JAVA,PROGRAMMATION
PYTHON,PROGRAMMATION
C,PROGRAMMATION
PHP5,WEB DEVELOPMENT
ANGULAR,WEB DEVELOPMENT
SPRING BOOT,WEB DEVELOPMENT
JEE,WEB DEVELOPMENT
HTML5,WEB DEVELOPMENT
CSS3,WEB DEVELOPMENT
JS,WEB DEVELOPMENT
UML,CONCEPTION
MERISE,CONCEPTION
JAVASCRIPT,WEB DEVELOPMENT
R,PROGRAMMATION
C++,PROGRAMMATION
C#,PROGRAMMATION
MATLAB,PROGRAMMATION
SCALA,BIG DATA
HADOOP,BIG DATA
CSS,WEB DEVELOPMENT
HTML,WEB DEVELOPMENT
TRANSACT,BASE DE DONNEES
PLSQL,BASE DE DONNEES
UML,CONCEPTION
J2E,WEB DEVELOPMENT
JEE,WEB DEVELOPMENT
JAVA EDITION ENTREPRISE,WEB DEVELOPMENT
PHOTOSHOP,PASSION
PHOTOGRAPHIE,PASSION
PHP,WEB DEVELOPMENT
SQL,BASE DE DONNEES
SQL5,BASE DE DONNEES
SPRING,WEB DEVELOPMENT
BI,BUSINESS INTELLIDENCE
BUSINESS INTELLIGENCE,BUSINESS INTELLIDENCE
TALEND,OUTIL
TABLEAU,OUTIL
POWER BI,OUTIL
ANDROID STUDIO,OUTIL
VISUAL STUDIO,OUTIL
ECLIPSE,OUTIL
NETBEANS,OUTIL
GITLAB,OUTIL
EXCEL,OUTIL
ADOBE,OUTIL
OFFICE,OUTIL
RSTUDIO,OUTIL
SAS STUDIO,OUTIL
REACT,MOBILE DEVELOPEMENT
REACTJS,WEB DEVELOPMENT
FLUTER,MOBILE DEVELOPEMENT
SDK ANDROID,MOBILE DEVELOPEMENT
XML,PROGRAMMATION
RDF,WEB DEVELOPMENT
DJANDO,WEB DEVELOPMENT
VUEJS,WEB DEVELOPMENT
WORDPRESS,WEB DEVELOPMENT
FIREBASE,BASE DE DONNEES
KOTLIN,MOBILE DEVELOPEMENT
JUPYTER,OUTIL
PYCHARM,OUTIL
WAMPSERVER,OUTIL
TEAMS,OUTIL
TRELLO,OUTIL